Candidate,Education,PC_CODE
Adv. Bandya Sane Alias Bandu Sampatrao Sane,Post Graduate,7
Adv. Basheer Alady,Post Graduate,1
Adv. Chirayinkeezhu Gopinathan,Graduate Professional,19
Adv. Deelip Kulkarni,Graduate Professional,16
Adv. Jawahar Leonardo Dias,Post Graduate,2
Adv. K. D. Shinde,Post Graduate,44
Adv. M. R. Sarin,Graduate Professional,19
Adv. Mahendra Dadasaheb Shinde,Doctorate,38
Adv. N.Sreeprakash,Graduate Professional,6
Adv. Narendra Keshav Sawaikar,Graduate Professional,2
Adv. P. P. A. Sageer,Graduate Professional,4
Adv. Peelipose Thomas,Graduate Professional,17
Adv. Perurkada Harikumar,Graduate Professional,20
Adv. Prabhakar Mahaguji Dadmal,Post Graduate,12
Adv. Raju Mangeshkar,Graduate Professional,2
Adv. Ravindra Dnyandeo Bhojane,Graduate Professional,5
Adv. Sanjeev Sidram Sadafule,Graduate Professional,42
Adv. Savita Balkrishna Shinde,Graduate Professional,43
Adv. Shailendra Rameshwar Yavalkar,Graduate Professional,40
Adv. Varsha Madgulkar,Graduate Professional,45
Adv.A.N.Shamseer,Graduate Professional,3
Adv.Bindhu Krishna,Post Graduate,19
Adv.Dadasaheb Alias Dhanu Bhikaji Walthare,Graduate Professional,11
Adv.Dean Kuriakose,Not Given,13
Adv.Joice George,Graduate Professional,13
Adv.M.A.Bindu,Graduate Professional,15
Adv.P.K.Jayakrishnan,Post Graduate,16
Adv.P.Sudheer,Graduate Professional,16
Adv.S.Prahladan,Graduate Professional,18
Adv.Shinde Ashok Dagdu,Post Graduate,3
Adv.Shivajirao Shivaramji Moghe,Graduate Professional,14
Adv.Sobji Devalya Gavit,Graduate Professional,1
Adv.Subhash Balasaheb Patil (Anna),Post Graduate,43
Afzal Ansari,Post Graduate,72
Afzal Siddiqui,12th Pass,49
Aga Syed Mohsin,Others,2
Agasty Pradip,Graduate Professional,39
Aghav Jayprakash Sitaram,10th Pass,39
Agoram. K,Graduate,28
Agrawal Kunjbihari Jugalkishor,Graduate,18
Ahamad Aziz Ahamad Mateen,8th Pass,19
Ahamed Hossain,Post Graduate,12
Aherwan Dharmender Rawat,12th Pass,10
Ahir Hansraj Gangaram,10th Pass,13
Ahmad Hussain Ansari,Graduate Professional,7
Ahmad Parvez Iqbal Ahmad Nur Mohammad,Graduate,14
Ahmed Sohel Siddiqui,12th Pass,77
Ahshan Ali,Graduate,9
Aithabathula Jogeswara Venkata Butchi Maheswara Rao,Post Graduate,24
Aiyyar Ganesh Rangayya,Graduate Professional,30
Ajad,Literate,79
Ajad Ali,Others,7
Ajad Geeta Prasad Sharma,12th Pass,39
Ajaj Julmoin Khan (Ajaj Khan),12th Pass,10
Ajay Agrawal,Graduate Professional,36
Ajay Arjun Singh,Post Graduate,9
Ajay Ghosh,Post Graduate,21
Ajay Kumar,12th Pass,5
Ajay Kumar,Post Graduate,78
Ajay Kumar,Graduate Professional,28
Ajay Kumar,Post Graduate,9
Ajay Kumar,Post Graduate,3
Ajay Kumar Bain,Graduate,18
Ajay Kumar Behera,Post Graduate,16
Ajay Kumar Bhagat,12th Pass,4
Ajay Kumar Dubey,12th Pass,7
Ajay Kumar Khemka,Graduate,1
Ajay Kumar Panjabrao Hingankar,Graduate,6
Ajay Kumar Prabhakar,Graduate Professional,59
Ajay Kumar Sharma,Graduate,6
Ajay Maken,Post Graduate,4
Ajay Nishad,Graduate,15
Ajay Pal Singh,Post Graduate,41
Ajay Pali,Literate,5
Ajay Pratap Singh,12th Pass,9
Ajay Rai,Graduate,77
Ajay Rawat,12th Pass,25
Ajay Shah Makrai,Post Graduate,29
Ajay Singla,10th Pass,1
Ajay Tamta,12th Pass,3
Ajay Vasant Paithankar,Graduate,34
Ajay Verma,Graduate,29
Ajay Verma,Others,8
Ajaydhar,12th Pass,63
Ajaykumar Sarnaik,Graduate,3
Ajaypal,8th Pass,11
Ajaypal,10th Pass,5
Ajeet Kumar,12th Pass,52
Ajinkya Dhondu Gawade,Graduate,46
Ajit Bhika Pawar,Graduate,20
Ajit Joy,Post Graduate,20
Ajit Kumar Jain (Patwa) Dharti Pakad,8th Pass,26
Ajit Kumar Singh,12th Pass,14
Ajit Pal Singh,Graduate,23
Ajit Pramod Kumar Jogi,Graduate Professional,9
Ajit Prasad Mahata,Graduate,35
Ajit Singh,Post Graduate,11
Ajitansh Gaur,Post Graduate,15
Ajith Kumar K K,Graduate,17
Ajmat Ali,8th Pass,24
Akar Dhoj Limbu,Graduate Professional,1
Akash Gupta,Graduate,1
Akbar Ahmad Dumpy,Graduate,59
Akbar Husain,10th Pass,7
Akbar Kasmi,Others,9
Akbar Masood,Post Graduate,7
Akhand,Graduate,65
Akhei Achumi,Graduate,1
Akhil Bhartiya Sharma,Graduate Professional,27
Akhilesh,Doctorate,78
Akhilesh,Graduate,63
Akhilesh,Graduate,3
Akhilesh Kumar,Literate,33
Akhilesh Kumar,12th Pass,63
Akhilesh Prasad Singh,Doctorate,15
Akhtarul Iman,Post Graduate,10
Akki Reddy Bhimanadula,10th Pass,31
Aklu Ram Mahto,Post Graduate,7
Akmal Khan Urf Chaman,Literate,23
Akshay Verma,Post Graduate,15
Akshay Yadav,Graduate,20
Akshaybar Nath Mishra,Post Graduate,7
Akthaar Ali,Graduate,7
Al Sivagnanam,5th Pass,31
Alagiri.S,Graduate,26
Alagumalai.V.,12th Pass,37
"Alagusundaram, K.",Graduate Professional,33
Albin M U,12th Pass,9
Aleixo Reginaldo Lourenco,12th Pass,2
Aleyamma Varghese,10th Pass,17
Alfraid Vikas Luis,Graduate,7
Ali Akbar,12th Pass,3
Ali Husan,5th Pass,2
Ali Hussain,Graduate,4
Ali Kishor Patnaik,Graduate,20
Alimuddin Ansari,10th Pass,10
Alimuddin Ansari,Others,27
Allapichai .E,Graduate,35
Alok Agarwal,Graduate Professional,28
Alok Chaturvedi,Graduate Professional,24
Alok Kumar Mehta,Graduate Professional,22
Alok Nandan,Post Graduate,21
Alok Sanjar,Graduate Professional,19
Alok Sen,12th Pass,21
Alok Sharma,8th Pass,3
"Alphonesraj, M.",5th Pass,20
Altaf Abdulgani Shikalgar,8th Pass,45
Altaf Ahamad Iqbal Ahmad,Graduate,16
Altaf Ali Mohammad,5th Pass,29
Altaf Husain,12th Pass,1
Altaf Husain Yenegure,Graduate,40
Alur M.G. Swamy,Graduate,13
Alwarsamy Karthikeyan.L,Post Graduate,36
Amal Say Sori,Graduate,11
Aman Kumar Samajsevi,12th Pass,8
Amanullah,Post Graduate,8
Amar Chand Pohiya,10th Pass,9
Amar Nath Pandey,Graduate Professional,4
Amar Nath Yadav,Literate,18
Amar Prakash,Graduate,3
Amar Sahani,Literate,1
Amar Singh,12th Pass,18
Amar Singh,10th Pass,44
Amar Singh,Graduate Professional,19
Amar Singh,10th Pass,1
Amar Singh Patel,12th Pass,18
Amar Singh Rathaur,Graduate Professional,48
Amara Ram,Post Graduate,5
Amarinder Singh,12th Pass,2
Amarjit Kaur,8th Pass,1
Amarjit Singh Asal,Post Graduate,2
Amarnath Pradhan,Post Graduate,3
Amarnath Tiwari,Graduate,12
Amarson Sankhil,Post Graduate,2
Ambalathara Kunhikrishnan,10th Pass,1
Ambedkar Prakash Yashwant,Graduate Professional,6
Ambendkari Hasnooram Ambendkari,Literate,19
Ambesh Kumari,Doctorate,6
Ambika Singh,Graduate,61
Ambika Soni,Post Graduate,6
Ambrose D,Post Graduate,25
Ameeruddin,Graduate,65
Ameeta Singh,Doctorate,38
Amin Chand,5th Pass,3
Amirthalingam .U,8th Pass,35
Amit,Graduate,62
Amit Aggarwal,12th Pass,1
Amit Bhatnagar,Post Graduate,8
Amit Jassi,Graduate,4
Amit Kumar,12th Pass,23
Amit Kumar,Post Graduate,6
Amit Kumar Chaubey,Post Graduate,3
Amit Kumar Sharma,Graduate,2
Amit Kumar Singh,12th Pass,8
Amit Rawat,10th Pass,34
Amita Singh Jaat,Post Graduate,15
